zmp3_name	zmp3_id	artist_group	community	cluster	zmp3_genre1	zmp3_genre2	zmp3_genre3	zmp3_genre4
Chí Thiện	2763	Pop sến loại 2	0		Việt Nam	V-Pop		
Quang Hà	2764		0	21.0	Việt Nam	V-Pop		
Dương 565	2766	Pop sến loại 2	0		Việt Nam			
Giang Tử	2767		6	28.0	Việt Nam	Nhạc Trữ Tình		
Dương Hiếu Nghĩa	2770	Pop 2000 sến	0	39.0	Việt Nam			
Giang Hồng Ngọc	2777	Pop sến loại 1	0		Việt Nam	V-Pop		
Nguyễn Hải Yến	2782	Pop Mainstream Vocal	0		Việt Nam	V-Pop		
Hòa Mi	2786	Pop 2000	0		Việt Nam			
Mai Thiên Vân	2787		6	28.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Huyền Thoại	2788	Pop sến loại 2	0		Việt Nam	V-Pop		
Hanni	2790	Pop 2000 sến	0	39.0	Việt Nam			
Hiền Trang	2793		6	9.0	Việt Nam	Nhạc Trữ Tình		
Justin Nguyễn	2794		6	17.0	Việt Nam	Dance Việt		
Kavie Trần	2795		6		Việt Nam			
Khắc Việt	2806	Pop sến loại 1	0		Việt Nam			
Khang Việt	2813	Pop sến loại 1	0	43.0	Việt Nam	V-Pop	Dance Việt	
Khánh Đơn	2816	Pop 9x Sến	0	22.0	Việt Nam			
Hoài Nam	2817		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Hoàng Hải Đăng	2822		6		Việt Nam	Nhạc Trữ Tình		
Lâm Vũ	2824		0		Việt Nam			
Lưu Chí Vỹ	2836	Pop 9x Sến	6	21.0	Việt Nam			
Hoàng Thiên Long	2842	Pop 2000 sến	0	39.0	Việt Nam			
Mắt Ngọc	2853	Pop 2000	6	6.0	Việt Nam			
Hồng Liên	2854		6	12.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Nguyễn Minh Anh	2863		0		Việt Nam	Nhạc Trữ Tình		
Minh Quân	2865		6		Việt Nam	V-Pop		
Minh Thư	2868		0	39.0	Việt Nam	Rock Việt	V-Pop	
Hứa Vĩ Văn	2873		6	39.0	Việt Nam			
Hương Giang	2875	V-pop Mainstream	6	17.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Hương Mơ	2878		6	12.0	Việt Nam	Nhạc Trữ Tình		
Ngô Kiến Huy	2879	V-pop Mainstream	0		Việt Nam			
Nguyễn Hồng Ân	2889		6	13.0	Việt Nam	Nhạc Trữ Tình	V-Pop	Nhạc Tôn Giáo
Nhật Kim Anh	2895	Pop sến loại 1	0	21.0	Việt Nam			
Phạm Thanh Thảo	2898		0		Việt Nam			
Nathan Lee	2946	Pop sến loại 1	0		Việt Nam			
Tấn Sơn	2949		6		Việt Nam	Nhạc Trữ Tình	Nhạc Trịnh	
Trần Mạnh Tuấn	2954		8		Việt Nam	Nhạc Trữ Tình	Nhạc Không Lời	Hòa Tấu
Sỹ Luân	2966	Pop 2000	6	10.0	Việt Nam	V-Pop		
Sơn Ca	2971	Pop 2000	0	39.0	Việt Nam			
Phan Đinh Tùng	3051	Pop 9x Sến	0	21.0	Việt Nam			
Khánh Du	3055		6		Việt Nam	Nhạc Trữ Tình		
Phùng Ngọc Huy	3058	Pop 2000 sến	0	22.0	Việt Nam			
Phương Trinh Jolie	3063	Pop sến loại 2	0	13.0	Việt Nam			
Khánh Duy	3064		6		Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Quách An An	3065	Pop 2000 sến	0	39.0	Việt Nam			
Quỳnh Nga	3069	Pop 2000	0		Việt Nam			
Song Giang	3072		6	18.0	Việt Nam			
Khưu Huy Vũ	3075		6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Kimmese	3076		12	37.0	Việt Nam	Rap Việt		
Tần Khánh	3082		0	39.0	Việt Nam			
Kim Chung	3084		6	18.0	Việt Nam	Nhạc Không Lời		
Thái Triệu Luân	3085	Pop 2000 sến	0	39.0	Việt Nam			
Thanh Duy	3088	V-pop Mainstream	0		Việt Nam	V-Pop		
Thanh Ngọc	3091	Pop 2000	0		Việt Nam			
